Symbol,Positive,Negative,Total Sentiments,Positive %,Negative %,Total Mentions
SPX,83,55,138,60.14492753623188,39.85507246376812,138
SPY,56,37,93,60.215053763440864,39.784946236559136,93
VOO,49,19,68,72.05882352941177,27.941176470588236,68
TSLA,33,27,60,55.00000000000001,45.0,60
DOGE,18,41,59,30.508474576271187,69.49152542372882,59
DJI,35,23,58,60.3448275862069,39.6551724137931,58
VTI,29,15,44,65.9090909090909,34.090909090909086,44
QQQ,33,8,41,80.48780487804879,19.51219512195122,41
COMP,27,14,41,65.85365853658537,34.146341463414636,41
NVDA,24,13,37,64.86486486486487,35.13513513513514,37
VIX,11,16,27,40.74074074074074,59.25925925925925,27
NYSE,13,5,18,72.22222222222221,27.77777777777778,18
GLD,13,5,18,72.22222222222221,27.77777777777778,18
LINK,9,6,15,60.0,40.0,15
BTC,9,5,14,64.28571428571429,35.714285714285715,14
RDDT,10,3,13,76.92307692307693,23.076923076923077,13
SQQQ,7,6,13,53.84615384615385,46.15384615384615,13
AMD,8,3,11,72.72727272727273,27.27272727272727,11
GOOGL,7,1,8,87.5,12.5,8
MSFT,4,4,8,50.0,50.0,8
OTM,4,3,7,57.14285714285714,42.857142857142854,7
TQQQ,5,2,7,71.42857142857143,28.57142857142857,7
TLT,5,2,7,71.42857142857143,28.57142857142857,7
AMZN,5,2,7,71.42857142857143,28.57142857142857,7
META,5,2,7,71.42857142857143,28.57142857142857,7
